UniqueId,Name,Country,Position_Description,Source_Url
44,Sean R. Eberhart,United States,"Member - (Shelbyville), Indiana House of Representatives, The United States of America
Member - County Council of Shelby, Tennessee, The United States of America
Chairman - County Council of Shelby, Tennessee, The United States of America
Member - Republican Party, The United States of America","https://www.justice.gov/usao-sdin/pr/former-indiana-state-representative-agrees-plead-guilty-federal-corruption-charge
https://en.wikipedia.org/wiki/Sean_Eberhart
https://www.indianahouserepublicans.com/
https://www.co.shelby.in.us/countycouncil/
https://justfacts.votesmart.org/candidate/biography/56955/sean-eberhart
https://www.onenewspage.com/current/mjbl2q40/Sean-Eberhart.htm
https://www.indystar.com/story/news/2023/11/09/indiana-lawmaker-sean-eberhart-republican-pleads-guilty-fraud-charges/71523462007/"
45,Mohan Yadav,India,"Chairman - Tourism Development Corporation, Madhya Pradesh, The Republic of India
Member - Bharatiya Janata Party (BJP), The Republic of India
Minister - Department of Higher Education , Madhya Pradesh, The Republic of India
Member - (Ujjain South), Legislative Assembly of Madhya Pradesh, The Republic of India
Chief Minister - Government of Madhya Pradesh, The Republic of India","http://mpvidhansabha.nic.in/14thvs/2014_217.pdf
http://mpvidhansabha.nic.in/
https://www.amarujala.com/election/vidhan-sabha-elections/madhya-pradesh/candidates/dr.-mohan-yadav-bjp-2018-ujjain-south-217
https://en.wikipedia.org/wiki/Mohan_Yadav
https://www.indiatoday.in/magazine/cover-story/story/20231225-madhya-pradesh-playing-the-obc-card-2476406-2023-12-15
http://zeenews.india.com/news/madhya-pradesh/case-against-bjp-candidate-for-distributing-cash-to-voters_889367.html
https://prsindia.org/mlatrack/mohan-yadav
https://timesofindia.indiatimes.com/city/bhopal/madhya-pradesh-cabinet-meet-the-ministers-of-team-yadav/articleshow/106277822.cms
https://mpvidhansabha.nic.in/15thvs/2019_217.pdf"
46,Punamchand Yadav,India,,"https://myneta.info/madhyapradesh2018/candidate.php?candidate_id=3772
https://mpvidhansabha.nic.in/15thvs/2019_217.pdf"
47,Sima Yadav,India,,https://mpvidhansabha.nic.in/15thvs/2019_217.pdf
48,Rajendra Shukla,India,"President - Government Engineering College Student Union, The Republic of India
Chairman - Industrial Development Corporation, Madhya Pradesh, The Republic of India
Member - Bharatiya Janata Party (BJP), The Republic of India
Former Member - Indian National Congress (INC), The Republic of India
Minister - Department of Energy and Mineral Resources, Madhya Pradesh, The Republic of India
Minister - Department of Housing and Environment, Madhya Pradesh, The Republic of India
Minister - Department of Commerce, Industry and Employment, Madhya Pradesh, The Republic of India
Member – (12th - 16th Legislature) (Rewa), Legislative Assembly of Madhya Pradesh, The Republic of India
Deputy Chief Minister - Government of Madhya Pradesh, The Republic of India
Minister - Ministry of Public Health Engineering, Madhya Pradesh, The Republic of India","http://mpvidhansabha.nic.in/
https://www.oneindia.com/politicians/rajendra-shukla-70514.html
https://myneta.info/madhyapradesh2018/candidate.php?candidate_id=3158
https://mpvidhansabha.nic.in/14thvs/2014_74.pdf
https://www.rewariyasat.com/rewa/rajendra-shukla-record-of-becoming-mla-and-minister-know-rewa-mla-since-1977-and-assembly-results-111233
https://www.elections.in/madhya-pradesh/assembly-constituencies/mlas-list.html
https://en.wikipedia.org/wiki/Rajendra_Shukla_(politician)
https://zeenews.india.com/india/who-is-rajendra-shukla-from-engineer-to-deputy-cm-of-madhya-pradesh-2697872.html
https://www.ndtv.com/india-news/who-is-rajendra-shukla-the-new-deputy-cm-of-bjp-led-madhya-pradesh-4664688
https://prsindia.org/mlatrack/rajendra-shukla"
49,Bhaiya Lal Shukla,India,,"https://www.oneindia.com/politicians/rajendra-shukla-70514.html
http://www.dailypioneer.com/state-editions/bhopal/bhaiyalal-shukla-dies-at-97.html
https://www.rewariyasat.com/rewa/rajendra-shukla-record-of-becoming-mla-and-minister-know-rewa-mla-since-1977-and-assembly-results-111233"
50,Sunita Shukla,India,,"https://www.oneindia.com/politicians/rajendra-shukla-70514.html
https://mpvidhansabha.nic.in/14thvs/2014_74.pdf"
51,Aishwarya Shukla,India,,https://www.latestly.com/socially/india/news/mp-deputy-cm-rajendra-shuklas-daughter-aishwarya-shukla-says-knew-father-would-get-good-post-wishes-to-meet-pm-narendra-modi-watch-video-5628007.html
52,Mariyam Shiuna,Maldives,"Deputy Minister - Ministry of Youth Empowerment, Information and Arts, The Republic of Maldives
Spokesperson - City Council of Male, The Republic of Maldives","https://www.hindustantimes.com/india-news/who-are-mariyam-shiuna-zahid-rameez-maldivian-leaders-who-triggered-row-with-india-101704625421344.html
https://presidency.gov.mv/Home/Contact/6
https://presidency.gov.mv/Government/Officials/141
https://hindi.news18.com/news/world/south-asia-who-are-mariyam-shiuna-zahid-rameez-maldives-leaders-objectionable-remarks-on-pm-modi-7964877.html"
53,Abdulla Mahzoom Majid,Maldives,"Deputy Minister - Ministry of Youth Empowerment, Information and Arts, The Republic of Maldives","https://presidency.gov.mv/Home/Contact/6
https://presidency.gov.mv/Government/Officials/141
https://newsraja.news/who-is-abdullah-mahzoom-majid-wikipedia/
https://www.hindustantimes.com/india-news/who-are-mariyam-shiuna-zahid-rameez-maldivian-leaders-who-triggered-row-with-india-101704625421344.html
https://www.abplive.com/news/india/india-maldives-govt-suspends-3-ministers-maryam-shiuna-malsha-shareef-mahzoom-majid-over-pm-modi-2580025"
