Politician,address,dob,deceased date,sex,languages,citizenship,nationality,occupation
Juan Lucas Restrepo,"Via di San Domenico, 1, 00153 Rome, Italy",NA,NA,NA,"English
Español",Colombian and French,Colombian and French,Director General
Michele Jenings,NA,NA,NA,NA,NA,NA,NA,"Director of the Foundation, Volunteering and Outreach"
Florian Pappenberger,NA,NA,NA,NA,"English, German",NA,NA,Director of Forecasts
Cornelius Gross,"EMBL Rome
Via Ramarini 32
00015 Monterotondo (RM)
Italy",NA,NA,NA,NA,NA,NA,Interim Head of EMBL Rome
Simonetta Cheli,NA,NA,NA,NA,"Italian
Native or bilingual proficiency
English
Full professional proficiency
French
Full professional proficiency
Spanish
Full professional proficiency
German
Limited working proficiency",NA,NA,NA
Philip Lowe,NA,"The provided document does not contain the date of birth for Philip Lowe, Italy Director General - European University Institute. Therefore, I cannot extract the requested data from the provided context.","I apologize, but the provided text does not contain information about the deceased date of Philip Lowe Italy Director General - European University Institute. Therefore, I cannot extract the requested data.",NA,"This context does not mention anything about Philip Lowe's languages, so I cannot extract the requested data from the provided context.",NA,NA,NA
Qu Dongyu,"Viale delle Terme di Caracalla, 00153 Rome, Italy",NA,NA,NA,NA,NA,NA,Director-General of the Food and Agriculture Organization of the United Nations
Laurent Thomas,"Viale delle Terme di Caracalla
00153 Rome, Italy",Laurent Thomas does not have a date of birth listed.,NA,"I am sorry, but the provided context does not have any information about the sex of Laurent Thomas. Thus, I am unable to answer your question.","I apologize, but I'm unable to provide the requested data as it is not available in the provided document.",NA,"I am sorry, but nationality information regarding Laurent Thomas is not provided in the context. Therefore, I can't provide an answer to your question.",Deputy Director General
Remo Ruffini,"Piazza della Repubblica, 10
 65122 Pescara (PE) - Italy","I am sorry, but the provided document does not contain the date of birth for Remo Ruffini.","The provided context does not contain the answer to your query. Therefore, I cannot extract the requested information.","I apologize, but the provided text does not contain information about the sex of Remo Ruffini, Director - International Centre for Relativistic Astrophysics Network.",11 languages,Italian,NA,Director
Webber Ndoro,NA,NA,"I apologize, but I cannot provide information about the deceased date of Webber Ndoro as it is not included in the text you provided.",NA,"This context does not mention anything about Webber Ndoro Italy Director General - International Centre for the Study of the Preservation and Restoration of Cultural Property, so I cannot extract the requested data from the provided context.",NA,NA,NA
Joseph King,"Via di San Michele 13 - Rome, Italy",NA,"This context does not mention anything about Joseph King Italy Director - International Centre for the Study of the Preservation and Restoration of Cultural Property, deceased date, so I cannot extract the requested data from the provided context.",NA,NA,NA,NA,Director of Partnership and Communication
Jan Beagle,"I am sorry, but I am unable to find the address of Jan Beagle from the reference text.",NA,NA,NA,"The context provided does not mention anything about the languages known by Jan Beagle Italy Director General - International Development Law Organisation, thus I am unable to provide the requested information.",NA,NA,Director-General
Haroun Atallah,NA,September 1964,NA,NA,NA,NA,Egyptian and Irish,Director Finance and Support Services
IlariaÂ Bottigliero,NA,NA,NA,NA,"Italian
-
English
-
French
-",NA,NA,Italy Director - Research and Learning
Liliana De Marco,NA,NA,NA,NA,NA,NA,NA,Director External Relations and Partnerships
Fabricio Guariglia,"Hofweg 9 E
2511AA 's-Gravenhage",NA,NA,NA,NA,NA,NA,NA
Cornelia Moussa,NA,NA,NA,NA,NA,NA,NA,Director of Human Resources and Office Services
Franco Sanchez-Hidalgo,NA,NA,NA,NA,NA,NA,NA,Director of Programmes
Ignacio Tirado,NA,NA,NA,NA,NA,Ignacio Tirado Italy Secretary General - International Institute for the Unification of Private Law,Ignacio Tirado is of Spanish nationality.,Secretary-General
Anna Veneziano,NA,NA,NA,NA,NA,NA,NA,Deputy Secretary-General
Andreas Klemmer,NA,NA,NA,NA,NA,NA,NA,"Director of Training, International Training Centre of the ILO and Deputy Director, Turin School of Development"
Joseph Borell,This document does not contain the answer to your question as the provided context is about the European External Action Service (EEAS) and it does not contain the address of Joseph Borell Italy Commander - League of Arab States Mission to Rome.,NA,I am sorry but this article does not contain the deceased date for Joseph Borell Italy Commander - League of Arab States Mission to Rome.,NA,"This context does not mention anything about Joseph Borell Italy Commander - League of Arab States Mission to Rome, so I cannot extract the requested data from the provided context.","The provided text does not contain information regarding the citizenship of Joseph Borell Italy Commander - League of Arab States Mission to Rome. Therefore, I am unable to provide the requested data.",NA,NA
Elizabeth L Dibble,NA,NA,NA,NA,"Italian, French, Spanish",NA,NA,Director General of the Multinational Force and Observers
Max A.L.T. Nielsen,NA,NA,NA,NA,NA,NA,NA,NA
Norbert Wagner,NA,NA,NA,NA,NA,NA,NA,NA
Petr Svoboda,NA,NA,NA,NA,NA,NA,NA,Deputy Commander - Joint Force Training Centre
